系统,线路,from_station,to_station,from_id,to_id,distance(km),year of segment opening
成都地铁,地铁4号线,西河,明蜀王陵,900000039621028,900000039621029,2.294,
成都地铁,地铁4号线,明蜀王陵,成都大学,900000039621029,900000039621030,1.46,
成都地铁,地铁4号线,成都大学,十陵,900000039621030,900000039621031,0.842,
成都地铁,地铁4号线,十陵,来龙,900000039621031,900000039621032,0.77,
成都地铁,地铁4号线,来龙,槐树店,900000039621032,900000039592056,2.418,
成都地铁,地铁4号线,槐树店,万年场,900000039592056,900000039621003,1.993,
成都地铁,地铁4号线,万年场,双桥路,900000039621003,900000039621005,0.642,
成都地铁,地铁4号线,双桥路,玉双路,900000039621005,900000039621006,1.518,
成都地铁,地铁4号线,玉双路,市二医院,900000039621006,900000039590009,1.686,
成都地铁,地铁4号线,市二医院,太升南路,900000039590009,900000039621008,0.828,
成都地铁,地铁4号线,太升南路,骡马市,900000039621008,510100022320006,1.066,
成都地铁,地铁4号线,骡马市,宽窄巷子,510100022320006,900000039621010,1.434,
成都地铁,地铁4号线,宽窄巷子,中医大·省医院,900000039621010,510100024533016,0.966,
成都地铁,地铁4号线,中医大·省医院,草堂北路,510100024533016,900000039621012,1.234,
成都地铁,地铁4号线,草堂北路,西南财大,900000039621012,900000039621013,0.787,
成都地铁,地铁4号线,西南财大,文化宫,900000039621013,900000039592041,1.043,
成都地铁,地铁4号线,文化宫,清江西路,900000039592041,900000039621015,1.143,
成都地铁,地铁4号线,清江西路,成都西站,900000039621015,900000039621016,2.236,
成都地铁,地铁4号线,成都西站,中坝,900000039621016,900000039621017,1.627,
成都地铁,地铁4号线,中坝,蔡桥,900000039621017,900000039621018,1.873,
成都地铁,地铁4号线,蔡桥,非遗博览园,900000039621018,900000039621019,2.222,
成都地铁,地铁4号线,非遗博览园,马厂坝,900000039621019,900000039621034,0.909,
成都地铁,地铁4号线,马厂坝,凤凰大街,900000039621034,900000039621035,2.323,
成都地铁,地铁4号线,凤凰大街,涌泉,900000039621035,900000039621036,1.581,
成都地铁,地铁4号线,涌泉,光华公园,900000039621036,900000039621037,1.365,
成都地铁,地铁4号线,光华公园,南熏大道,900000039621037,900000039621038,1.023,
成都地铁,地铁4号线,南熏大道,凤溪河,900000039621038,900000039621039,0.92,
成都地铁,地铁4号线,凤溪河,凤溪河,900000039621039,900000039621039,0.0,
成都地铁,地铁4号线,凤溪河,杨柳河,900000039621039,900000039621040,1.28,
成都地铁,地铁4号线,杨柳河,万盛,900000039621040,900000039621041,1.321,
