系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
苏州轨道交通,轨道交通7号线,900000061754,常楼,登云,900000061754010,900000061754011,1.27,
苏州轨道交通,轨道交通7号线,900000061754,登云,蠡塘河路,900000061754011,900000061754012,1.269,
苏州轨道交通,轨道交通7号线,900000061754,蠡塘河路,春申湖东路,900000061754012,900000061754013,0.815,
苏州轨道交通,轨道交通7号线,900000061754,春申湖东路,华元路东,900000061754013,900000061754014,0.715,
苏州轨道交通,轨道交通7号线,900000061754,华元路东,白荡北,900000061754014,900000061754015,0.981,
苏州轨道交通,轨道交通7号线,900000061754,白荡北,板泾,900000061754015,900000061754017,3.081,
苏州轨道交通,轨道交通7号线,900000061754,板泾,洋泾,900000061754017,900000061754018,0.784,
苏州轨道交通,轨道交通7号线,900000061754,洋泾,积翠桥,900000061754018,900000061754019,1.504,
苏州轨道交通,轨道交通7号线,900000061754,积翠桥,中央公园,900000061754019,320500022828017,0.851,
苏州轨道交通,轨道交通7号线,900000061754,中央公园,惹云桥,320500022828017,900000061754021,0.77,
苏州轨道交通,轨道交通7号线,900000061754,惹云桥,黄天荡,900000061754021,900000055756021,1.037,
苏州轨道交通,轨道交通7号线,900000061754,黄天荡,娄葑,900000055756021,900000061754023,0.842,
苏州轨道交通,轨道交通7号线,900000061754,娄葑,群力,900000061754023,900000061754024,1.154,
苏州轨道交通,轨道交通7号线,900000061754,群力,通园路南,900000061754024,900000039926035,1.065,
苏州轨道交通,轨道交通7号线,900000061754,通园路南,林家潭,900000039926035,900000061754026,1.521,
苏州轨道交通,轨道交通7号线,900000061754,林家潭,郭巷,900000061754026,320500022816033,0.88,
苏州轨道交通,轨道交通7号线,900000061754,郭巷,尹山,320500022816033,900000061754028,1.083,
苏州轨道交通,轨道交通7号线,900000061754,尹山,金家桥南,900000061754028,900000061754029,1.992,
苏州轨道交通,轨道交通7号线,900000061754,金家桥南,枫津路,900000061754029,900000061754030,0.839,
苏州轨道交通,轨道交通7号线,900000061754,枫津路,红庄,900000061754030,320500022810032,1.083,
苏州轨道交通,轨道交通7号线,900000061754,红庄,蠡墅,320500022810032,900000061754003,1.003,
苏州轨道交通,轨道交通7号线,900000061754,蠡墅,石湖莫舍,900000061754003,900000061754004,1.887,
苏州轨道交通,轨道交通7号线,900000061754,石湖莫舍,越溪,900000061754004,900000061754005,1.129,
苏州轨道交通,轨道交通7号线,900000061754,越溪,文溪路,900000061754005,900000061754006,1.34,
苏州轨道交通,轨道交通7号线,900000061754,文溪路,天鹅荡路,900000061754006,900000061754007,1.461,
苏州轨道交通,轨道交通7号线,900000061754,天鹅荡路,苏州湾北,900000061754007,900000061754008,0.952,
苏州轨道交通,轨道交通7号线,900000061754,苏州湾北,木里,900000061754008,900000061754009,1.684,
