系统,线路,站名,站间距(km),累计里程(km),经度,纬度,station ID,pinyin,year of opening
南宁地铁,轨道交通5号线,国凯大道,0.0,0.0,108.271335,22.754044,900000087801001,,
南宁地铁,轨道交通5号线,那洪立交,0.758,0.758,108.270032,22.760751,900000073499016,,
南宁地铁,轨道交通5号线,金凯路,0.896,1.654,108.271389,22.768715,900000087801003,,
南宁地铁,轨道交通5号线,江南公园,1.336,2.99,108.271646,22.780724,900000087801004,,
南宁地铁,轨道交通5号线,周家坡,0.965,3.955,108.272048,22.789392,900000087801005,,
南宁地铁,轨道交通5号线,五一立交,1.356,5.311,108.275886,22.801063,900000087801006,,
南宁地铁,轨道交通5号线,新秀公园,2.223,7.534,108.286384,22.818555,900000087801007,,
南宁地铁,轨道交通5号线,广西大学,1.53,9.064,108.291111,22.831607,900000058314017,,
南宁地铁,轨道交通5号线,秀灵路,1.629,10.693,108.305774,22.837260,900000087801009,,
南宁地铁,轨道交通5号线,明秀路,0.747,11.44,108.312746,22.839235,900000060985031,,
南宁地铁,轨道交通5号线,北湖南路,1.094,12.534,108.321948,22.844228,900000087801011,,
南宁地铁,轨道交通5号线,虎邱,1.03,13.564,108.331091,22.848072,900000087801012,,
南宁地铁,轨道交通5号线,狮山公园,1.16,14.724,108.340896,22.853295,900000087801013,,
南宁地铁,轨道交通5号线,小鸡村,1.596,16.32,108.356139,22.856240,900000067049009,,
南宁地铁,轨道交通5号线,邕宾立交,0.811,17.131,108.364043,22.856559,900000087801015,,
南宁地铁,轨道交通5号线,降桥,1.227,18.358,108.373983,22.862718,900000087801016,,
南宁地铁,轨道交通5号线,金桥客运站,1.158,19.516,108.385095,22.864624,900000087801017,,
