系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
澳门轻轨,横琴线,900000213462,莲花,横琴,900000126430006,900000213462002,1.481,
澳门轻轨,氹仔线,900000126430,氹仔码头,机场,900000126430001,900000126430002,0.411,
澳门轻轨,氹仔线,900000126430,机场,科大,900000126430002,900000126430003,0.818,
澳门轻轨,氹仔线,900000126430,科大,路氹东,900000126430003,900000126430004,0.558,
澳门轻轨,氹仔线,900000126430,路氹东,东亚运,900000126430004,900000126430005,0.651,
澳门轻轨,氹仔线,900000126430,东亚运,协和医院,900000126430005,900000126430013,0.682,
澳门轻轨,氹仔线,900000126430,协和医院,莲花,900000126430013,900000126430006,0.372,
澳门轻轨,氹仔线,900000126430,莲花,路氹西,900000126430006,900000126430007,0.646,
澳门轻轨,氹仔线,900000126430,路氹西,排角,900000126430007,900000126430008,0.734,
澳门轻轨,氹仔线,900000126430,排角,运动场,900000126430008,900000126430009,0.472,
澳门轻轨,氹仔线,900000126430,运动场,马会,900000126430009,900000126430010,0.565,
澳门轻轨,氹仔线,900000126430,马会,海洋,900000126430010,900000126430011,0.612,
澳门轻轨,氹仔线,900000126430,海洋,妈阁,900000126430011,900000126430012,3.088,
澳门轻轨,石排湾线,900000213458,协和医院,石排湾,900000126430013,900000213458002,0.828,
