系统,线路,线路ID,from_station,to_station,from_id,to_id,distance(km),year of segment opening
南京地铁,地铁S3号线(宁和线),320100021307,高家冲,林山,320100021307017,320100021307018,1.685,
南京地铁,地铁S3号线(宁和线),320100021307,林山,桥林新城,320100021307018,320100021307019,1.974,
南京地铁,地铁S3号线(宁和线),320100021307,桥林新城,石碛河,320100021307019,320100021307020,1.35,
南京地铁,地铁S3号线(宁和线),320100021307,石碛河,双垅,320100021307020,320100021307002,1.447,
南京地铁,地铁S3号线(宁和线),320100021307,双垅,兰花塘,320100021307002,320100021307003,1.309,
南京地铁,地铁S3号线(宁和线),320100021307,兰花塘,马骡圩,320100021307003,320100021307004,2.09,
南京地铁,地铁S3号线(宁和线),320100021307,马骡圩,刘村·弘阳家居博览中心,320100021307004,320100021307005,7.916,
南京地铁,地铁S3号线(宁和线),320100021307,刘村·弘阳家居博览中心,天保,320100021307005,320100021307006,1.519,
南京地铁,地铁S3号线(宁和线),320100021307,天保,高庙路,320100021307006,320100021307007,1.977,
南京地铁,地铁S3号线(宁和线),320100021307,高庙路,吴侯街,320100021307007,320100021307008,0.908,
南京地铁,地铁S3号线(宁和线),320100021307,吴侯街,平良大街,320100021307008,320100021307009,0.948,
南京地铁,地铁S3号线(宁和线),320100021307,平良大街,永初路,320100021307009,320100021307010,0.979,
南京地铁,地铁S3号线(宁和线),320100021307,永初路,油坊桥,320100021307010,320100021307011,1.226,
南京地铁,地铁S3号线(宁和线),320100021307,油坊桥,贾西,320100021307011,320100021307012,1.446,
南京地铁,地铁S3号线(宁和线),320100021307,贾西,春江路,320100021307012,320100021307013,1.379,
南京地铁,地铁S3号线(宁和线),320100021307,春江路,铁心桥,320100021307013,320100021307014,1.483,
南京地铁,地铁S3号线(宁和线),320100021307,铁心桥,景明佳园,320100021307014,320100021307015,1.425,
南京地铁,地铁S3号线(宁和线),320100021307,景明佳园,南京南站,320100021307015,320100021307016,1.96,
